STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOIDFQ,18-24_2013,18-24_20_1,2020_TP_co,2020_TP_un,2020_TP_mi,2020_TP_ma,2020_TP_ra,2020_TP_su,2020_TP_me,2020_TP__1,2020_TP_st,2020_TP__2,2020_TP__3,2020_TP_q1,2020_TP_q3,2020_TP_iq,20_18-24%_,20_18-24_1,20_18-24_2,20_18-24_3,20_18-24_4,20_18-24_5,20_18-24_6,20_18-24_7,20_18-24_8,20_18-24_9,20_18-2410,20_18-2411,20_18-2412,20_18-2413,%18-24_202,%Change,Ohio_Block_Groups_2020_TP,Ohio_Block_Groups_20_18-24%,Ohio_Block_Groups_Med_HHInc,Ohio_Block_Groups_TotalHH_L2,Ohio_Block_Groups_%_HHL2,Ohio_Block_Groups_PC_POP_20,Ohio_Block_Groups_PC_POP_10,Ohio_Block_Groups_PC_Change,Ohio_Block_Groups_PC_HHL2
"39","165","031500","4","391650315004",Block Group 4,G5030,S,513749,0,"+39.4356247","-084.2081816",1500000US391650315004,"57","6.818181818",5,5,48.000000,173.000000,125.000000,610.000000,122.000000,145.000000,49.262562,48.000000,48.000000,80.000000,164.000000,84.000000,5,5,4.000000,17.000000,13.000000,51.000000,10.200000,9.000000,5.418487,4.000000,4.000000,5.000000,16.000000,11.000000,17,10.182,48,5,,279,76.860,0.050,0.068,-0.018,0.769
"39","061","009200","1","390610092001",Block Group 1,G5030,S,993871,0,"+39.1198673","-084.5518513",1500000US390610092001,"108","13.1546894",5,5,47.000000,305.000000,258.000000,993.000000,198.600000,212.000000,90.718466,47.000000,47.000000,159.000000,270.000000,111.000000,5,5,4.000000,44.000000,40.000000,92.000000,18.400000,14.000000,13.821722,4.000000,4.000000,10.000000,20.000000,10.000000,44,30.845,109,7,23750,365,67.219,0.070,0.132,-0.062,0.672
"39","085","206600","1","390852066001",Block Group 1,G5030,S,356648,0,"+41.6533302","-081.4578926",1500000US390852066001,"56","8.127721335",6,6,24.000000,112.000000,88.000000,406.000000,67.666667,73.500000,31.636828,24.000000,24.000000,30.000000,93.000000,63.000000,6,5,2.000000,11.000000,9.000000,36.000000,6.000000,4.500000,3.316625,2.000000,4.000000,4.000000,10.000000,6.000000,11,2.872,30,4,58750,215,62.865,0.040,0.081,-0.041,0.629
"39","111","966600","1","391119666001",Block Group 1,G5030,S,58416490,854728,"+39.8125349","-080.8678801",1500000US391119666001,"58","8.936825886",7,7,5.000000,251.000000,246.000000,465.000000,66.428571,21.000000,87.225254,5.000000,5.000000,9.000000,85.000000,76.000000,7,6,1.000000,25.000000,24.000000,50.000000,7.142857,3.000000,8.407965,2.000000,1.000000,1.500000,9.000000,7.500000,25,16.063,12,3,40556,191,82.328,0.030,0.089,-0.059,0.823
"39","111","966900","3","391119669003",Block Group 3,G5030,S,117992689,37167,"+39.6507500","-081.0747307",1500000US391119669003,"58","6.872037915",7,7,0.000000,182.000000,182.000000,592.000000,84.571429,81.000000,62.296198,0.000000,0.000000,38.000000,126.500000,88.500000,7,5,0.000000,23.000000,23.000000,64.000000,9.142857,7.000000,7.735421,0.000000,7.000000,4.500000,12.500000,8.000000,23,16.128,182,18,69412,299,73.645,0.180,0.069,0.111,0.736
"39","111","966600","2","391119666002",Block Group 2,G5030,S,92711052,830680,"+39.7457315","-080.9315688",1500000US391119666002,"42","4.719101124",5,5,5.000000,34.000000,29.000000,94.000000,18.800000,13.000000,11.196428,5.000000,5.000000,12.000000,30.000000,18.000000,5,4,1.000000,4.000000,3.000000,13.000000,2.600000,3.000000,1.019804,1.000000,3.000000,2.000000,3.000000,1.000000,4,-0.719,30,4,43625,251,75.375,0.040,0.047,-0.007,0.754
"39","111","966900","1","391119669001",Block Group 1,G5030,S,143379363,2504,"+39.6883676","-081.2453728",1500000US391119669001,"42","4.162537166",8,8,0.000000,153.000000,153.000000,591.000000,73.875000,70.500000,50.364763,0.000000,0.000000,34.500000,114.000000,79.500000,8,6,0.000000,23.000000,23.000000,74.000000,9.250000,7.000000,7.241374,0.000000,4.000000,4.000000,14.500000,10.500000,23,18.837,37,4,51250,213,56.649,0.040,0.042,-0.002,0.566
"39","111","966600","4","391119666004",Block Group 4,G5030,S,44486003,1455819,"+39.6714332","-080.8967980",1500000US391119666004,"84","6.834825061",4,4,13.000000,63.000000,50.000000,140.000000,35.000000,32.000000,17.986106,13.000000,13.000000,21.500000,48.500000,27.000000,4,4,2.000000,7.000000,5.000000,16.000000,4.000000,3.500000,1.870829,2.000000,2.000000,2.500000,5.500000,3.000000,7,0.165,34,3,54205,442,71.753,0.030,0.068,-0.038,0.718
"39","111","966800","1","391119668001",Block Group 1,G5030,S,46159788,30601,"+39.7663618","-081.1861246",1500000US391119668001,"100","11.0619469",7,7,32.000000,81.000000,49.000000,376.000000,53.714286,49.000000,18.652570,32.000000,32.000000,36.500000,70.500000,34.000000,7,3,4.000000,11.000000,7.000000,41.000000,5.857143,4.000000,2.474358,11.000000,4.000000,4.000000,7.000000,3.000000,11,-0.062,75,11,46938,219,76.307,0.110,0.111,-0.001,0.763
"39","111","966600","3","391119666003",Block Group 3,G5030,S,69769868,17273,"+39.6902556","-080.9747466",1500000US391119666003,"10","1.652892562",7,7,5.000000,182.000000,177.000000,408.000000,58.285714,34.000000,56.218234,5.000000,5.000000,21.500000,72.000000,50.500000,7,6,1.000000,18.000000,17.000000,42.000000,6.000000,4.000000,5.345225,1.000000,7.000000,2.500000,7.000000,4.500000,18,16.347,13,2,51679,133,55.649,0.020,0.017,0.003,0.556
